# exported by xylib from a spe file
# column_1	column_2
746.710707	550.469971
746.771830	547.548157
746.832953	533.048706
746.894076	529.845642
746.955199	517.508911
747.016322	482.503387
747.077445	496.874725
747.138568	484.545898
747.199690	471.691742
747.260813	459.883942
747.321936	462.118591
747.383059	461.731842
747.444182	476.039734
747.505305	449.956329
747.566428	436.563751
747.627551	442.270905
747.688674	435.016083
747.749797	437.727081
747.810920	433.458557
747.872042	428.162262
747.933165	427.068146
747.994288	421.855682
748.055411	423.832214
748.116534	423.665222
748.177657	422.428772
748.238780	419.357635
748.299903	415.454803
748.361026	417.649414
748.422149	417.213196
748.483271	417.562134
748.544394	418.879913
748.605517	419.231506
748.666640	419.859253
748.727763	417.793457
748.788886	415.087189
748.850009	414.313629
748.911132	413.743683
748.972255	409.946075
749.033378	409.627594
749.094500	412.458923
749.155623	413.889038
749.216746	411.227570
749.277869	402.818268
749.338992	401.044250
749.400115	403.019470
749.461238	403.428192
749.522361	406.880768
749.583484	404.366028
749.644607	400.449799
749.705729	402.844818
749.766852	404.941986
749.827975	403.461945
749.889098	400.976471
749.950221	404.294434
750.011344	401.697510
750.072467	392.907104
750.133590	394.151093
750.194713	390.763611
750.255835	393.035492
750.316958	393.696198
750.378081	394.954376
750.439204	395.549805
750.500327	391.038422
750.561450	391.180908
750.622573	390.309875
750.683696	392.791565
750.744819	396.712067
750.805942	397.540619
750.867064	393.282623
750.928187	400.373383
750.989310	394.301483
751.050433	389.799469
751.111556	394.145538
751.172679	396.457397
751.233802	398.253937
751.294925	390.979340
751.356048	391.679657
751.417171	391.234100
751.478294	392.721619
751.539416	385.135498
751.600539	387.199860
751.661662	389.424500
751.722785	385.249451
751.783908	388.620544
751.845031	385.470520
751.906154	394.000610
751.967277	396.454437
752.028400	386.886749
752.089523	385.086761
752.150645	391.875336
752.211768	387.949219
752.272891	391.899109
752.334014	389.968903
752.395137	389.946899
752.456260	394.728424
752.517383	386.404388
752.578506	392.548279
752.639629	388.318848
752.700752	385.255402
752.761874	385.034515
752.822997	384.146759
752.884120	385.823944
752.945243	388.662842
753.006366	390.744751
753.067489	386.737854
753.128612	389.433044
753.189735	381.695953
753.250858	377.664215
753.311981	386.111206
753.373103	392.881897
753.434226	379.739410
753.495349	387.156677
753.556472	389.290100
753.617595	385.264679
753.678718	385.640747
753.739841	390.578827
753.800964	392.800537
753.862087	384.386383
753.923209	389.034088
753.984332	380.832642
754.045455	383.878082
754.106578	385.096680
754.167701	383.509308
754.228824	381.207062
754.289947	390.700653
754.351070	389.640106
754.412193	389.360504
754.473316	383.647034
754.534438	381.728210
754.595561	384.445648
754.656684	385.221527
754.717807	385.813507
754.778930	391.410187
754.840053	394.009827
754.901176	391.497681
754.962299	386.372467
755.023422	384.352356
755.084545	388.432251
755.145668	386.027466
755.206790	384.367645
755.267913	386.264099
755.329036	384.308350
755.390159	383.793335
755.451282	381.955688
755.512405	383.514557
755.573528	386.024719
755.634651	378.029144
755.695774	377.083984
755.756897	380.952118
755.818019	380.147339
755.879142	384.533081
755.940265	382.576691
756.001388	385.636475
756.062511	389.659393
756.123634	383.163483
756.184757	380.144226
756.245880	383.507080
756.307003	380.920441
756.368126	374.487793
756.429248	383.180481
756.490371	376.797485
756.551494	378.993805
756.612617	382.735535
756.673740	381.168884
756.734863	379.088898
756.795986	387.078278
756.857109	384.482574
756.918232	388.415497
756.979354	388.778046
757.040477	382.105255
757.101600	386.785583
757.162723	385.742950
757.223846	387.807983
757.284969	379.287689
757.346092	385.743958
757.407215	382.695190
757.468338	384.511230
757.529461	388.529907
757.590583	383.972595
757.651706	385.815216
757.712829	382.078613
757.773952	385.288116
757.835075	383.665649
757.896198	384.550842
757.957321	384.368500
758.018444	383.263214
758.079567	390.056976
758.140690	385.048553
758.201812	390.989746
758.262935	383.155182
758.324058	392.688751
758.385181	373.825562
758.446304	377.998962
758.507427	391.384888
758.568550	380.683624
758.629673	385.614624
758.690796	383.642883
758.751919	383.644104
758.813042	385.593292
758.874164	386.601807
758.935287	385.682007
758.996410	386.596710
759.057533	381.962891
759.118656	385.411560
759.179779	386.589142
759.240902	385.755249
759.302025	382.069702
759.363148	381.721405
759.424271	383.499176
759.485393	381.084259
759.546516	378.141083
759.607639	379.500153
759.668762	384.880463
759.729885	379.818420
759.791008	377.953400
759.852131	372.842072
759.913254	377.588226
759.974377	377.996399
760.035500	376.217316
760.096622	379.016998
760.157745	374.320374
760.218868	379.871216
760.279991	378.737366
760.341114	383.172180
760.402237	384.046661
760.463360	380.837891
760.524483	387.942780
760.585606	384.221558
760.646728	376.813385
760.707851	386.997192
760.768974	384.749695
760.830097	381.170746
760.891220	377.446808
760.952343	384.067352
761.013466	388.505219
761.074589	382.872528
761.135712	376.640594
761.196835	380.127014
761.257957	382.261322
761.319080	385.063995
761.380203	386.879486
761.441326	387.499664
761.502449	386.671387
761.563572	385.307495
761.624695	383.739197
761.685818	380.029968
761.746941	379.135986
761.808064	385.076080
761.869187	384.443207
761.930309	375.473511
761.991432	378.124146
762.052555	385.040131
762.113678	383.851135
762.174801	380.439087
762.235924	381.585541
762.297047	382.986176
762.358170	375.565002
762.419293	373.518402
762.480416	380.942993
762.541538	383.072174
762.602661	380.643616
762.663784	382.272461
762.724907	382.870941
762.786030	377.753510
762.847153	382.195984
762.908276	387.018890
762.969399	382.648621
763.030522	385.789459
763.091645	386.571320
763.152767	381.696289
763.213890	381.748840
763.275013	377.754089
763.336136	379.020844
763.397259	379.183350
763.458382	378.495758
763.519505	385.044403
763.580628	382.784027
763.641751	381.804901
763.702874	379.507263
763.763996	381.031708
763.825119	389.834198
763.886242	383.131866
763.947365	379.033051
764.008488	388.948151
764.069611	383.299835
764.130734	381.797852
764.191857	392.301300
764.252980	382.465759
764.314102	383.457275
764.375225	385.196350
764.436348	387.209106
764.497471	383.507568
764.558594	380.101685
764.619717	376.281281
764.680840	378.419373
764.741963	383.542755
764.803086	374.514130
764.864209	380.434692
764.925331	383.769135
764.986454	378.908752
765.047577	384.716766
765.108700	377.975891
765.169823	379.890839
765.230946	373.863678
765.292069	383.016998
765.353192	385.649445
765.414315	375.750977
765.475438	377.620850
765.536561	372.627289
765.597683	374.174561
765.658806	373.014648
765.719929	378.656036
765.781052	380.924316
765.842175	376.239532
765.903298	375.153015
765.964421	383.093292
766.025544	365.910583
766.086667	372.715363
766.147790	377.561188
766.208912	380.211639
766.270035	375.415588
766.331158	374.409119
766.392281	372.633423
766.453404	380.395081
766.514527	377.441223
766.575650	374.484497
766.636773	377.467712
766.697896	372.547455
766.759019	380.348816
766.820141	378.523376
766.881264	384.283447
766.942387	368.144653
767.003510	371.383087
767.064633	375.336517
767.125756	374.591400
767.186879	370.810669
767.248002	380.769501
767.309125	377.829041
767.370248	374.800598
767.431370	382.733124
767.492493	376.308136
767.553616	380.939392
767.614739	388.644562
767.675862	376.270020
767.736985	377.222656
767.798108	381.059357
767.859231	378.976440
767.920354	373.451630
767.981476	381.982513
768.042599	373.445831
768.103722	375.000580
768.164845	380.618561
768.225968	375.826324
768.287091	375.468628
768.348214	374.837280
768.409337	380.305267
768.470460	374.424255
768.531583	376.655243
768.592705	376.873413
768.653828	375.891632
768.714951	375.685272
768.776074	381.076477
768.837197	381.891266
768.898320	377.880829
768.959443	378.956207
769.020566	381.180847
769.081689	377.250580
769.142812	377.192810
769.203935	381.355774
769.265057	376.928589
769.326180	376.180695
769.387303	373.908142
769.448426	379.102814
